row_number,review_selected,sentiment,sentimiento
225,"Había estado deseando ver Dreamgirls durante bastante tiempo ... ¿qué con todos son revisiones, nominaciones y atención a los medios de comunicación? ¡Y debo decir, el primer cuarto de la película fue bueno! Realmente retrató la escena de la música negra en ese entonces. Sin embargo, a medida que la película llevaba, yo y toda mi familia estaban aburridos de nuestro ingenio. El canto acaba de seguir llegando, uno tras otro. Me refiero seriamente, solo un número de música más y se habría roto incluso con Rent.Furthermore, noté casi ningún desarrollo de personajes en ninguno de los personajes; ¡Simplemente no me importaba lo que les pasó! Incluso cuando el personaje de Eddie Murphy murió de una sobredosis de drogas, sabía que debería haber estado triste, pero simplemente no pude sentir ninguna emoción para ese personaje. Los personajes se les dio un fondo endeble acerca de cantar en su infancia y en qué no, pero hay personalidades que no se revelaron lo suficiente como para atraerme. En forma de que el conflicto simplemente no era lo suficientemente significativo como para que el espectador se preocupara, lo que se acompaña de la falta de carácter. desarrollo. Esta película me recordó una película de Copy-Cat basada en Ray, Chicago y Rest (Ray y Chicago eran películas maravillosas en mi opinión). En general, creo que esta película se adaptaría mejor a alguien que realmente no le importa una historia general, sin embargo, disfrutaría de dos horas de actuaciones de canto entretenidas y divertidas.",negative,negativo
226,"Uno de los cortometrajes más largos y extraños de Starwicz sigue a un perro de juguete en busca de una naranja después de animarse por la lágrima de la madre de una niña que anhela una naranja. El perro se acerca a una naranja después de caer de la parte posterior de un automóvil en su camino para ser vendido, pero por la noche debe proteger la naranja cuando venga a un club nocturno de diabólico con muchos personajes extraños y de miedo. Con la ayuda de un gato relleno, el perro recupera la naranja de regreso a la niña y ella es salvada de una terrible muerte de escorbilidad. La mascota presenta nuevas técnicas que aún no he visto en las películas de Starewicz. La adición de sincronización de sonido y una mezcla de acción en vivo con la animación de stop-motion hace que sea un nuevo giro en el antiguo estilo de los títeres de Starwicz. Las escenas en vivo de los automóviles en movimiento y los pies de la gente caminan como un títere que se sienta en la acera de concreto es impresionante y fresco. El estafo de los coches y los gritos de los vendedores ambulantes es notable debido al hecho de que los pequeños cambios de estudio son costosos y la utilización de la nueva tecnología de Sarrowicz parece un sombrero antiguo. Los nuevos personajes de títeres en esta película son contribuciones aterradoras a la escena del club del diablo. Las ramitas y los trituradores del periódico cobran vida. Los esqueletos de los pájaros muertos ponen los huevos que eclosionan los pollitos de esqueleto. Los personajes vienen volando de todo sobre palmaditas y sartenes y caballos de balanceo. Una nueva técnica de edición utiliza zoom rápido que se realizan a través de la edición para acelerar el ritmo de lo que antes podría haber sido una escena lenta. En general, STAREWICZ es capaz de actualizar su estilo de cinematográfico para satisfacer las demandas de una nueva audiencia haciendo esta película uno de los mejores ejemplos de su trabajo.",positive,positivo
227,"Nice character development in a pretty cool milieu. Being a male, I'm probably not qualified to totally understand it, but they do a nice job of establishing the restrictive Victorian environment from the start. It isn't as bleak as it really was and the treatment of women was probably even harsher. What makes this go is a wonderful chemistry among the principal characters. Each has their own ""thing"" that they contend with. Once they come out of the rain and break out of the spider webs, they begin to interact and slowly lose their sense of suspicion. What I enjoyed about this movie is that it didn't go for cheap comedy when it could have. It didn't try to pound a lesson into us. The people who seem utterly without merit are really nicely developed human beings who get to see the light. I did have a little trouble with the Alfred Molina character having such an epiphany so quickly, but, within this world, it needed to happen. Good acting all around with something positive taking place in the lives of some pretty good people.",positive,positivo
228,"Prussic gas, a murderer donning a red clansman suit and hood wielding a white whip, and the murders of college school girls at the hands of paid convicts enlisted by a mysterious mastermind who keeps his face hidden within an office containing aquariums of turtles and fish. The inspectors at Scotland Yard, Higgins(IJoachim Fuchsberger)and his superior Sir John(Siegfried Schürenberg)certainly have their hands full with this case. It all seems to center around student Ann Portland(Uschi Glas), who, when she turns 21, is to inherit a great deal of wealth. The girls who are targeted share a room with Ann, but the reason for their murders remains a mystery SY's finest must figure out. The staff of the girls' dormitory all seem to be hiding something and certain members of the faculty are falling prey to the killer in the red monk robe disguise, talented enough to precisely strangle the necks of those attacked with the whip. Two prisoners are commissioned by a mystery man to use the newly created toxic gas created by a scientist murdered at the beginning of the film during what was supposed to be a monetary exchange for his creation. It's a clever scheme where a driver, Greaves(Günter Meisner)meets the convicts(..who hide in a barrel)who are assisted by a corrupt prison guard. Taken blindfolded to the secret room of the mastermind, he gives them orders on who to kill and how. Uncovering this operation is a top priority for Higgins and Sir John for it will lead them to the truth they seek in regards to the murders and why they are happening. Under suspicion are girls' dormitory headmistress, her author brother, a sweaty, incredibly nervous chemistry teacher, a snooping gardener, and the Bannister. Some are red herrings until they are disposed of, throwing the viewer for a loop each time until the real mastermind is discovered. The ending features multiple twists. Out of the Krimi films I've seen, THE COLLEGE GIRL MURDERS is the closest to a giallo with it's colorful killer, a convoluted plot yielding lots of surprises and potential suspects, & sordid shenanigans between adults and the college girls at the dormitory. I think you can also see the influence of James Bond on this particular Krimi film with the villain mastermind's secret hideout with an alligator pit(..which isn't used), the fake bible/water pistol, when opened, fires the gas into the face of startled victims, the Greaves' Royles Royce which has latches that cause flaps to darken the windows without revealing the passenger in the back seat, and the peep holes used to spy on the girls in their rooms and while swimming. Many might consider Sir John a liability due to his bumbling, buffoonish behavior and how he often undermines Higgins' abilities to get at the truth(..perhaps poking fun at know-it-all British inspectors who harm a case more than solve it)..I felt he was used as comedy relief, particularly with his attempts at psychoanalyzing suspects and potential victims, often misunderstanding what are told to him. Higgins, using the skills adopted over his years as an investigator, instead follows the clues/facts, often avoiding Sir John as much as possible. Capable direction by the reliable Alfred Vohrer who keeps the pace humming at a nice speed, and the screenplay is full of interesting characters and lurid content..the fact that so many of the adults surrounding the dormitory are suspect, any of them might be the one wielding the whip or calling the shots behind those murdered girls' executions. I'd say this may be one of the best(..if not the best)examples of the Krimi genre, for it keeps you guessing, always one more ace up it's sleeve..the revelations unearthed at the very end are quite eye-opening(..and, you even get a literal unmasking of the real mastermind pulling the strings to top it all off).",positive,positivo
229,"Tuve mucha suerte de ver esta película como parte del Festival Internacional de Cine de Melbourne 2005 hace solo unos días.Debo admitir que soy muy parcial a las películas que se centran en las relaciones humanas y especialmente las que se concentran en el lado trágico de la vida.También me encanta la mayoría de las ofrendas cinematográficas escandinavas, a menudo hay una calidad profunda particular en la forma en que se desarrolla la historia y se dibujan los personajes.El edificio de personajes en esta película es extraordinario en sus detalles y su profundidad.Esto es a pesar del hecho de que nos encontramos con un gran número de personajes con situaciones y ubicaciones personales muy particulares dentro de su comunidad.La audiencia al final de la proyección fue muy silenciosa y pensativa.Todavía estoy jugando algunas de esas escenas en mi mente y todavía estoy asombrado por su poder y su sentido.",positive,positivo
230,"Esta película es realmente mala.Lo que la mayoría parece que fue filmado en un parque o en un sótano.Hay una araña gigante, pero todo lo que vemos es una pierna.Hay algunos gusanos que viven en una cueva que son solo títeres de calcetines baratos con dientes de cartón.Y la parcela es un montón de mumbo post-apocalíptico Jumbo que no tiene sentido.Todo es simplemente ridículo.",negative,negativo
231,"I think this is one hell of a movie...........We can see Steven fighting around with his martial art stuff again and like in all Segal movies there's a message in it, without the message it would be one of many action/fighting movies but the message is what makes segal movies great and special.",positive,positivo
232,"I saw this movie in the theater, and was thoroughly impressed by it. Then again, that was when Claire Danes was a good actress, not the foolish, arrogant, Hollywood-ized bitch she is today. Anyway, this film really struck me as one of the more raw, realistic, beautiful friendship films. How far would you really go for your best friend? I was moved to tears at the end, and still tear up when I watch it now (I own it). I remember as soon as I left the theater, I called my best friend and sobbed to her how much I loved her. This is a great film to watch with your best girlfriend. However be prepared for the almost certain conversation afterward where she turns to you and asks if you'd do something like that for her....",positive,positivo
233,"I've seen this film literally over 100 times...it's absolutely jam-packed with entertainment!!! Powers Boothe gives a stellar performance. As a fan of actors such as William Shatner (Impulse, 1974) and Ron Liebmann (Up The Academy, 1981)I never thought an actor could capture the ""intensity"" like Shatner and Liebmann in those roles, until I saw Boothe as Jim Jones! As far as I'm concerned, Powers Boothe IS Jim Jones...this film captures his best performance!!!",positive,positivo
234,"Los tres personajes principales son todos desesperados, y sin embargo, solo lo siento por uno de ellos: Ernesto, dedicado desesperadamente a Mercedes.Esto fue parte de la frustración: gritando en Mercedes para obtener una pista y zanja el no-Good Harry, sin vender. Entonces, está la satisfacción: Steve Buscemi tiene una gran parte como un travesti, y la historia en movimiento de Harvey Keitel de su indignidad jugando.Un gorila para una película de televisión barata es increíble.Cuando menos lo esperas, Quentin Tarintino está haciendo media monólogo, y Anthony Quinn convierte a Ernesto en un hombre rico. Y nuevamente, los grandes momentos aparecen en la historia, pero al final es difícil saber qué sentir acerca de esta película.No tiene un final feliz, o incluso un completo, pero de alguna manera se siente bien. Esta película es extraña, pero entonces también lo soy;No es de extrañar que me haya gustado.",positive,positivo
235,"Reese Witherspoon first outing on the big screen was a memorable one. She appears like a fresh scrubbed face ""tween"" slight and stringy, but undeniably Reese.I have always liked her as an actor, and had no idea she started this young with her career, go figure. I actually gained some respect for Reese to know who she was so early on. I say that because whenever I have watched her perform, the characters thus far, in each portrayal she also seemed to have her own persona that lived with that character, quite nicely in fact.Anyway, my first film experience with Reese was the Little Red Riding Hood parody Reese did with Kiefer Sutherland, somehow I assumed that was her first time up ""at bat"" Not so, well done Reese",positive,positivo
236,This game ranks above all so far. I had the honor of playing mine on PS2 so the graphics were really good. The voice acting was above standard. The difficulty level is just right. Wesker has to be the best characters in the RE series in my opinion. The story amazed me and took many different twist that I wasn't expecting. The only rating this game deserves is great.,positive,positivo
237,"Esta película no vale nada.Quiero decir, si quieres ver este tipo de cosas, ¡Flip a Hollywood Películas!Esto es totalmente una desgracia para el nombre de Bollywood.Neal n Nikki sorprendido seriamente!Nunca mires esta película.En cuanto a los actores, parece que los genes activos saltaron una generación.Tanisha no podría haber desgastado menos y Uday Chopra obviamente fue elegido porque era el hijo mimado del director.(Todo lo que Halla re era increíblemente estúpido) Las canciones son eh, y espero que el director no pasara mucho dinero en él ... Línea de fondo, odiaba la película.¡No dejes que tus hijos lo vean, y si lo tienes en tu casa, es una película estúpida, así que descartarla!Compre el CD, si debe.(Como dije, las canciones son eh.) Al menos es mejor que la película.",negative,negativo
238,"Este es otro occidental de un barón de ganado codicioso que busca empujar a los pequeños rancheros y agricultores. Ciertamente se ha hecho todo antes y desde entonces. Pero los hombres violentos son algo especial. Lo que lo hace especial es Barbara Stanwyck desempeñando el papel de Vixen, ya que a menudo lo hizo en sus películas posteriores. Ella está casada con la parrilla Edward G. Robinson, quien es el barón del ganado aquí, pero Robinson está lisiado y hay algún indicio que sus lesiones pueden haberlo dejado impotente. Sin importarle a Barbara, cuyas necesidades están siendo satisfechas por su cuñado Brian Keith. Eso no se sienta bien con Dianne Foster, quien es la hija de Robinson y Stanwyck, ni con Lita Milan, que es la amiga mexicana de Keith. La subparata de infidelidad casi se hace cargo de la película, pero Glenn Ford como el pequeño ranchero de Stalwart, que es una guerra civil. El veterano viene al oeste por su salud logra sostener su propio aquí. Es cada centímetro, el tranquilo héroe occidental que la gente comete el error de empujar una vez con demasiada frecuencia. Casi espero que esas palabras famosas de Wild Bill Elliott para salir de la boca de Ford, ""Soy un hombre pacífico"". Hubiera sido muy aplicable en los hombres vioilentos. Los cincuenta años fueron la edad del occidental adulto, los temas entraban en óperas de caballos que no se habían explorado anteriormente. El año siguiente, Glenn Ford haría otro occidental, Jubal, uno de sus mejores, que también explora la infidelidad como componente de la trama. Hay suficiente material occidental tradicional en los hombres violentos y muchos para aquellos que son adictos a las óperas de jabón también.",positive,positivo
239,"Apparently, The Mutilation Man is about a guy who wanders the land performing shows of self-mutilation as a way of coping with his abusive childhood. I use the word 'apparently' because without listening to a director Andy Copp's commentary (which I didn't have available to me) or reading up on the film prior to watching, viewers won't have a clue what it is about.Gorehounds and fans of extreme movies may be lured into watching The Mutilation Man with the promise of some harsh scenes of splatter and unsettling real-life footage, but unless they're also fond of pretentious, headache-inducing, experimental art-house cinema, they'll find this one a real chore to sit through.82 minutes of ugly imagery accompanied by dis-chordant sound, terrible music and incomprehensible dialogue, this mind-numbingly awful drivel is the perfect way to test one's sanity: if you've still got all your marbles, you'll switch this rubbish off and watch something decent instead (I watched the whole thing, but am well aware that I'm completely barking!).",negative,negativo
240,"Esta película fue absolutamente patética.Un llamado guía y falta de cualquier historia que me dejó ver a tres perdedores con babea sobre bikini.A veces me sentía como si estuviera viendo un episodio de Beavis y Butthead.Ni siquiera podía sentarme en toda la película.Emran Hashmi decepciona, y Hrshitta Bhatt no es impresionante en absoluto.Celina Jaitley no estaba mal.La única parte que vale la pena de la película es la falsificación de Anu Malik y su obsesión de Shayaris.Fue bastante hilarante.Las canciones ""Sini NE"" y su versión remix eran realmente buenas.Siempre puede contar con Emran Lip-Block and Lip-Synching Un Chartbuster.En general, parece que Emran no tiene un buen guión de los Bhatts para respaldarlo esta vez.",negative,negativo
241,"¡Siento el calor de Niiiiiight!¡Siento tu heeaaaaaaaaaaaaaArArt!¡Algo no está bien! ""Canción temática escrita por BJ Cocine de la antigua banda y esposa de Skylark- David Foster. También le escribió el tema memorable de las"" ondas aires ""de CBC. ¡Oh, calor de noche! ¡Qué programa! ¡Qué programa está bien escrito, bien actuado?y totalmente clásico. Los solucionadores de crimen y un buen equipo y un toque del humor al final. Me gustaría pensar que esto es realmente lo que hicieron los detectives. ¡Giambone era un verdadero favorito! En una punta canadiense, aprendí a todos los actores canadienses.Nombre y estilo de los lugares de invitado realizados en el calor de la noche. Todos pasaron a través del conjunto de calor de la noche y como Ley & Order, fue impulsado por la historia para que pudiera mirar y disfrutar sin un montón de personajes melodrama.",positive,positivo
242,"This movie fails miserably on every level. I have an idea, let's take everyone involved in this movie and ship them into a hot zone in the middle east. Maybe if we're lucky they'll all be shot and killed and we won't have to ever have our time wasted by them again. Did I mention that I have never been so bitter about a cinematic pile of crap in my entire life? My god, I can't think of anything I've ever seen that was this bad. I'd rather watch Ishtar 25 times in a row than sit through 10 minutes of this sorry excuse for a film. If I ever happen to meet anyone who was involved in this film, I'll spit in their face and then beat them senseless. That's my two cents.",negative,negativo
243,"Sí, diré antes de comenzar a comentar, esta película está increíblemente subestimada. La piedra de Sharon es excelente en su papel de Catherine Trammell, al igual que Morrissey como Dr. Glass.Es un analista enviado para evaluarla después de la muerte de una estrella deportiva.El vidrio se dibuja en un juego seductor que Marrammel usa para manipular su mente. La actuación fue buena (aparte de las Wlis), Stone realmente tiene un talento con este papel.Ella es mancha, traviesa y seductora y no se ve un día mayor que ella en la primera. Muy me impresionó (como en el casino).Morrisey también era bueno.Mostró mucha vunerabilidad en un papel que lo necesitaba.Los wlis sin embargo fue cojo.Arruinó su personaje y fue sobre todo el camino.Realmente chupó. Toda la película, no es tan buena, la primera, sino la piedra es un grito para observar.Simplemente ignore los wlis.",positive,positivo
244,"Basado en una novela de Burroughs de Arroz Edgar, en el núcleo de la Tierra proporciona poco más de lo que significa escapar y darle un descanso a su cerebro.Un científico victoriano, el Dr. Abner Perry (Peter Cushing) inventa una máquina gigante de madriguera, que él y su pareja estadounidense (Doug McClure) se utilizan para el sacacorchos en su camino en la tierra para explorar qué misterios puede contener.Pronto descubren un mundo perdido de criaturas subhumanas que tienen un conflicto con los monstruos prehistóricos. El hecho de que se encuentra como un profesor de mentalidad ausente hasta el punto de ser molesto.En lugar de ser un aventurero audaz, se encuentra a través de afeminado.Por otro lado, McClure sobredimensionado lo suficiente para hacerse risible.Caroline Munro interpreta a la bonita princesa Dia que se niega a abandonar su mundo cerca del centro de la Tierra.También en el elenco son: Godfrey James, Cy Gran y Michael Crane.",negative,negativo
245,"I have seen this film at least 100 times and I am still excited by it, the acting is perfect and the romance between Joe and Jean keeps me on the edge of my seat, plus I still think Bryan Brown is the tops. Brilliant Film.",positive,positivo
246,"This show makes absolutely no sense. Every week, two ladies go to an estate to do some gardening, and every week without fail, they somehow stumble upon a murder. Because everyone who owns a big house with a large garden is involved in a murder, right? But even if they did somehow happen to stumble upon murder after murder, wouldn't the smart thing to do be to tell the police? You know, the people who can actually do something about it... But every week, these two fools go around, polluting evidence, committing crimes of their own, and, in some cases, causing more murders. Once they do miraculously solve the murders, there is no way the murderer could ever be convicted. All the evidence has been sabotaged. And you'd think people who are covering up murders would think not to hire these two, wouldn't you? Yay! We've solved the murder! Now like every other week, let's go and confront the murderer ourselves and, with no back-up, tell them that we know about it. There is no way we could get ourselves into any danger, is there? Rosemary and Thyme is one of the worst shows on television, and certainly the most ridiculous.",negative,negativo
247,"¡Esta película fue tan mala que fue divertido!Por un tiempo, pensé que en realidad estaba viendo una parodia de una mala película (a la ""para su consideración"").La escena ""Cliffhanger"" al final me hizo reír hasta que me lastimen las insidencias.El guión era lo suficientemente terrible, pero junto con la terrible actuación de Sean Young, especialmente, mientras ella explica toda la parcela con gran detalle (completo con flashbacks) mientras cuelga de un acantilado, lo hace una película verdaderamente elegante.De hecho, los disparos Fakey en esta escena me recordaban una película de madera de edición.Todavía no puedo creer cómo se hizo esto.En primer lugar, ¿cómo fue un script tan malo la luz verde?¿Cómo se adjuntaron los actores estrella?¿Estaban en puntos bajos en sus carreras?Preguntas, preguntas.",negative,negativo
248,"Meryl Streep is such a genius. Well, at least as an actress. I know she's been made fun of for doing a lot of roles with accents, but she nails the accent every time. Her performance as Lindy Chamberlain was inspiring. Mrs. Chamberlain, as portrayed here, was not particularly likable, nor all that smart. But that just makes Streep's work all the more remarkable. I think she is worth all 10 or so of her Oscar nominations. About the film, well, there were a couple of interesting things. I don't know much about Australia, but the theme of religious bigotry among the general public played a big part in the story. I had largely missed this when I first saw the film some years ago, but it came through loud and clear yesterday. And it seems the Australian press is just as accomplished at misery-inducing pursuit and overkill as their American colleagues. A pretty good film. A bit different. Grade: B",positive,positivo
249,"'Airport 4' is basically a slopped together mess for Universal Studios to try and work a new twist - the Concorde supersonic airliner - into their 'disaster-in-the-sky' formulaBogged down with unintentional humor, the best of which is when George Kennedy sticks his hand out of Concorde's window at supersonic speed to fire a flare gun at a heat-seeking missile following the aircraft's flight path, and the simple fact that these dumb passengers keep re-boarding the same plane to continue their flight despite all the problems in the air Many stars in this one including Robert Wagner, Sylvia Kristel, Alain Delon, and Martha Raye as a nervous passenger Not really related to the other 'Airport' films",negative,negativo
250,"Supposedly a ""social commentary"" on racism and prison conditions in the rural South of the 1970's, ""Nightmare"" is full of bad Southern stereotypes, complete with phoney accents. Not only would it be offensive to the sensibilities of most American Southerners, this tawdry piece of work comes off as just a thinly-disguised ""babe in prison"" movie--especially in its uncut original version. Nevertheless, acting is generally above average and the late Chuck Connors, in particular, does a good job of making viewers hate him--even though he looks somewhat uncomfortable in several scenes. There's also a change-of-pace role for the late Robert Reed, who appears as the lecherous warden, and Tina Louise (previously Ginger of ""Gilligan's Island"") made a rather believable sadistic prison guard. My grade: D. ",negative,negativo
251,"Ok, compré esta película de Woolworths para mi amigo por una broma presente en su cumpleaños, porque la portada tenía una insinuación sexual en él. Pero nos decidimos verlo de todos modos. Solo para fines de hilaridad. Y lo siento, pero esto tiene que ser, una de las peores películas de la historia. Comenzó bien, y pensamos ""OK, esto podría estar bien"". Pero después de unos 10 minutos, estábamos tristemente erróneos. Comenzó cuando la ""Baller de pintura misteriosa"" resultó ser el personaje más obvio, el Año / Australiano (lo digo porque tenía un acento que no podía ser identificado), Quién está actuando podría simplemente decir, fue abismal. Entonces llegó al final, y en ese momento, todos habíamos perdido la voluntad de vivir. Las finales de la pelota de pintura. La única cosa que me gustó de esta parcela es que en realidad no ganaron, pero lo suficientemente molestos ganaron por defecto. Y sé que esto no tiene nada que ver con eso, pero el nombre que se dio el equipo fue dado fue simplemente desagradable. Daño crítico. Quiero decir que podrían elegir un nombre más impresionante, como ""los destructores del anti-Cristo"" o algo así. O eso es lo que la película debería ser llamada de todos modos.",negative,negativo
252,"Insignificant and low-brained (haha!) 80's horror like there are thirteen in a dozen, yet it can be considered amusing if you watch it in the right state of mind. The special effects are tacky, the acting atrocious and the screenplay seems to miss a couple of essential paragraphs! ""The Brain"" takes place in a typical quiet-American town setting, where every adolescent works in the same diner and where the cool-kid in high school flushes cherry bombs down the toilet. It is here that a TV-guru named Dr. Blake and his adorable pet-brain begin their quest for nation-wide mind controlling. Under the label of ""independent thinkers"", a giant cheesy brain sends out waves through television sets and forces innocent viewers to kill! How cool is that? Now, it's up to the Meadowvale teen-rebel to save the world! The funniest thing about the plot is that it never explains where Dr. Blake and his monstrous brain actually come from. There are obvious references towards extraterrestrial life but that's about it. Meh, who needs a background in a movie like this, really? There's not that much bloodshed unfortunately and the ""evil"" brain looks like an over-sized sock-puppet. The only more or less interesting element for horror buffs is taking a look at the cast and crew who made this movie. Director Ed Hunt and writer Barry Pearson are the same men who made ""Bloody Birthday"" (guilty pleasure of mine) and ""Plague"". Both those are much better movies and they wisely decided to resign the film industry. The most familiar face in the cast unquestionably is the great David Gale, whom horror fans will worship forever for his role in Re-Animator. A girl named Christine Kossak provides the nudity-factor and she's obviously a great talent She has exactly 3 movies on her repertoire of which THIS is her ""masterpiece"". In her debut, she was credited as 'runaway model' and in ""3 men and a baby"", her character is referred to as 'one of Jack's girls'. I really wonder how she feels about her career as an actress",negative,negativo
253,"¿Alguien recuerda la comedia alternativa, muestra la tira de cómic presenta? Una edición destacó a Charles Bronson (Robbie Coltrane) que entrevistó sobre su nueva película GLC: ""Se trata de un hombre, un hombre ordinario cuya esposa y familia se eliminan por Creeps y tengo que cazarlos y matarlos en un sádico y gráfico. Manera """" ¿Y después de GLC, ¿qué siguiente para Bronson? """" Estamos usando un nuevo ángulo. Mi familia no se desvanece, pero voy después de escalofríos "", esto describe con precisión el mal que hacen los hombres. Es un thriller de Bronson Vigilante donde su motivación no se ha reducido a una disputa de sangre, pero esto lleva a la credibilidad que se está volviendo tensa, Bronson es un hit-hombre retirado que no está renunciando a su retiro por nada hasta que alguien le muestra una cinta de video con entrevistas con entrevistas con Las víctimas de ""El Doctor"", no el Legendario Time Traveler, sino un experto infame en la tortura. Nunca se le explica por qué el médico es tan infame, ya que cualquier estado policial tiene una gran variedad de estos sáques, ni se explica por qué el médico y su hermana tienen acentos de inglés ridículos, ya que puede adivinar que es una película y incidentes perezosamente escritos porque el guionista necesita cosas que deben suceder para promover la trama, sin importar cuán imparciales sea que sean como uno de los malos que se inviten a un trío para que pueda ser asesinado o las cosas se revelan como que la hermana del médico es una lesbiana, por lo que se puede incluir algunas formas en que algunos T & A se pueden incluir de muchas maneras. Como uno de esos desagradables vehículos de Norris que se estaban lanzados al mismo tiempo, pero la cosa más decepcionante es que el director también es el mismo hombre que hizo frío helado en Alex y las armas de Naverone dos dramas de guerra muy consideradas que son A menudo se muestran los domingos por la tarde. Créeme esta película no se mostrará hasta que esté bien después de la cuenca.",negative,negativo
254,"Bueno, ¡aquí hay otro ejemplo excelente de la creación de películas de los 70 incómodos! La premisa rudimentaria de ""¿Qué pasa con Helen?"" Es bastante sorprendente y perturbador, ¡pero se presenta de una manera tan elegante y sofisticada! En manos de cualquier otro equipo de películas, esto ciertamente se habría convertido en un cuento de explotación desagradable y arenoso, pero con el director Curtis Harrington (""Whover Slew Tuntie Roo?"") Y ScriptWriter Henry Farrell (""SHUSH ... SHUT ... Sweet Charlotte"") a cargo, Se convirtió en una mezcla hermosa y casi encantadora de temas y géneros. La trama básica de la película es definitivamente horrible, pero hay mucho más que experimentar, como las historias de amor, una atmósfera de swinging 1930 y un montón de cantos y un baile de grifos. La configuración es incuestionablemente lo que hace que esta película sea tan única. Literalmente estamos catapultados de regreso a la década de 1930, con una representación sublime de la música de esa época, la religión, los negocios teatrales y los armarios. Siguiendo el ensayo largo y agotador que condenó a sus hijos a la vida, el asesinato por el asesinato, Adelle (Debbie Reynolds) y Helen (Shelley Winters) huyó a California e intentan comenzar una nueva vida dirigiendo una escuela de baile para las niñas jóvenes talentosas. Particularmente Adelle se adapta perfectamente al nuevo entorno, mientras se enamora de un millonario local, pero el pobre Helen continúa hundiéndose en una espiral hacia abajo de la locura y la paranoia. Ella solo escucha las divagaciones de una radio-evangelista, teme que sea castigada por los delitos que su hijo cometió y desarrollará lentamente tendencias violentas. El guión, aunque no enteramente sin fallas, está bien escrito y la película está adecuadamente ritmo. Nunca hay un momento aburrido en ""qué le pasa a Helen"", aunque las secuencias de canto, baile y tango son bastante extendidas y no están relacionadas con la trama real. Pero la atmósfera es continuamente siniestra y la película definitivamente beneficia del excelente desempeño activo de Shelley Winters. Ella está francamente aterradora como la dama impredecible e introvertida que está a punto de romperse por segundo y, especialmente, en los últimos diez minutos, ¡parece más petrificante que todos los Kruegers de Freddy, Jason Voorhees 'y Michael Myers'! Hay varios excelentes personajes de apoyo que son, tristemente, un poco subdesarrollados y robados de su potencial, como Michéal Macliammóir como el maestro de laocución de laocescas, Agnes Moorehead como la Sacerdotisa espeluznante y Timothy Carey como el visitante fértil de la Casa de las Damas. Hay un par de escenas sorprendentemente espantosas y momentos de genuina shock para disfrutar para los grandes fanáticos de Guignol entre nosotros, pero en particular las piezas y diseños de disfraz (¡incluso nominados para un Oscar!) Son impresionantes.",positive,positivo
255,"Resnais, wow! The genius who brought us Hiroshima Mon Amour takes on the challenge of making a 1930s French musical in vibrant colour. The opening voice-over with old, embellished inter-titles was a nice touch. Then the camera aperture opens (like the old hand crankers) on a black & white placard. The camera backs off (or rather, up), suddenly showing us the surprisingly brilliant colours of an elegant table set for a tea party. This is all in the first 60 seconds.Then the music starts. A rather banal and forgettable diddy featuring an unconvincing chorus of 3 girls blabbering some nonsense which has no relevance to the film (and yes, I speak French, so I can't blame it on the subtitles). Those characters whiz out the door and are replaced by more people who break into an even more forgettable song. Then they leave, and finally Audrey Tautou appears and we hear our first appreciable dialogue 15 minutes into the film.I'm not sure what Resnais intended by starting off with such a yawning waste of time & musical cacophony. But the effect on the viewer is to make you want to hurl skittles at the screen and storm out. I endured.It didn't get much better. I'll tell you why. There is absolutely no familiarity with any of the characters. We don't even see their faces half the time (as Resnais seems too intent on showing off the expensive scenery to care about the actual people in front of the camera). People flit on & off stage like moths around a lamp, and we the audience are unable to focus on any particular person or plot. It's as if you were to take every episode of the Brady Bunch and cram it into a 2 hour movie. With bad songs.The only thing that kept me watching as long as I did (1 hour) was that I was looking at the camera techniques, lighting and scenery which were all, I admit, excellent. But is that enough to hold your attention for 2 hours? Not me. Maybe tomorrow I'll try watching the end. Aw, who am I kidding. I have more important things to do. I'm sure you do, too. Skip this.",negative,negativo
256,"Vi esta película en medio de la noche, cuando estaba volteando por los canales y no había nada más que ver.Es una de esas películas donde se detenga para ver qué es, ¡solo por un momento!- Pero date cuenta después de veinte minutos más o menos que simplemente no puedes apagarlo, no importa lo mal que sea.Una de esas películas que está en algún lugar entre ser tan mal, es bueno y tan mal, bueno, bueno, simplemente está simplemente mal, vale la pena verse solo para experimentar la confusión de darse cuenta de que son ambos!Gran tarifa media de la noche, aunque solo sea para la fabulosa arrastre de tenis.Ni siquiera molestes preguntándote por qué nadie puede decir que Chad Lowe es tan obviamente hombre, porque la lógica no se aplica.",negative,negativo
